[2024-07-27 07:36:53] info: 	z2m: Logging to console, file (filename: log.log)
[2024-07-27 07:36:53] debug: 	z2m: Can't load state from file /app/data/state.json (doesn't exist)
[2024-07-27 07:36:53] info: 	z2m: Starting Zigbee2MQTT version 1.39.0 (commit #0326926)
[2024-07-27 07:36:53] info: 	z2m: Starting zigbee-herdsman (0.50.1)
[2024-07-27 07:36:53] debug: 	z2m: Using zigbee-herdsman with settings: '"{\"network\":{\"panID\":37410,\"extendedPanID\":[5,71,54,0,53,237,198,29],\"channelList\":[11],\"networkKey\":\"HIDDEN\"},\"databasePath\":\"/app/data/database.db\",\"databaseBackupPath\":\"/app/data/database.db.backup\",\"backupPath\":\"/app/data/coordinator_backup.json\",\"serialPort\":{\"path\":\"tcp://10.0.5.10:6638\"},\"adapter\":{\"concurrent\":null,\"delay\":null,\"disableLED\":false}}"'
[2024-07-27 07:36:53] debug: 	zh:controller: Starting with options '{"network":{"networkKeyDistribute":false,"networkKey":"HIDDEN","panID":37410,"extendedPanID":[5,71,54,0,53,237,198,29],"channelList":[11]},"serialPort":{"path":"tcp://10.0.5.10:6638"},"databasePath":"/app/data/database.db","databaseBackupPath":"/app/data/database.db.backup","backupPath":"/app/data/coordinator_backup.json","adapter":{"disableLED":false,"concurrent":null,"delay":null}}'
[2024-07-27 07:36:53] info: 	zh:zstack:znp: Opening TCP socket with 10.0.5.10:6638
[2024-07-27 07:36:53] info: 	zh:zstack:znp: Socket connected
[2024-07-27 07:36:53] info: 	zh:zstack:znp: Socket ready
[2024-07-27 07:36:53] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2024-07-27 07:36:53] debug: 	zh:zstack:unpi:writer: --> buffer [239]
[2024-07-27 07:36:54] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - ping - {"capabilities":1}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,1,32]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,1,89,6,61]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,1,89,6,61]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 1 - [89,6] - 61
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - ping - {"capabilities":1625}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - version - {}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,2,35]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,10,97,2,2,1,2,7,1,70,217,52,1,0,196]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,10,97,2,2,1,2,7,1,70,217,52,1,0,196]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 10 - 3 - 1 - 2 - [2,1,2,7,1,70,217,52,1,0] - 196
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - version - {"transportrev":2,"product":1,"majorrel":2,"minorrel":7,"maintrel":1,"revision":20240710}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack: Adapter concurrent: 16
[2024-07-27 07:36:54] debug: 	zh:zstack: Detected znp version 'zStack3x0' ({"transportrev":2,"product":1,"majorrel":2,"minorrel":7,"maintrel":1,"revision":20240710})
[2024-07-27 07:36:54] debug: 	zh:adapter:zstack:manager: beginning znp startup
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":130}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,130,0,178]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,24,0,104]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,24,0,104]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [24,0] - 104
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":24}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvReadExt - {"id":130,"offset":0}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,130,0,0,0,187]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,26,97,28,0,24,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,1,0,32,165,15,0,0,98]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,26,97,28,0,24,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,1,0,32,165,15,0,0,98]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 26 - 3 - 1 - 28 - [0,24,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,1,0,32,165,15,0,0] - 98
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvReadExt - {"status":0,"len":24,"value":{"type":"Buffer","data":[0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,1,0,32,165,15,0,0]}}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:adapter:zstack:manager: determining znp startup strategy
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":96}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,96,0,80]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,1,0,113]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,1,0,113]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [1,0] - 113
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":1}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvReadExt - {"id":96,"offset":0}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,96,0,0,0,89]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,3,97,28,0,1,85,42]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,97,28,0,1,85,42]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 3 - 1 - 28 - [0,1,85] - 42
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvReadExt - {"status":0,"len":1,"value":{"type":"Buffer","data":[85]}}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":33}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,33,0,17]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,116,0,4]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,116,0,4]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [116,0] - 4
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":116}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvReadExt - {"id":33,"offset":0}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,33,0,0,0,24]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,118,97,28,0,116,245,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,182,237,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,177,193,45,2,90,201,167,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,0,3,0,0,67]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,118,97,28,0,116,245,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,182,237,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,177,193,45,2,90,201,167,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,0,3,0,0,67]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 118 - 3 - 1 - 28 - [0,116,245,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,182,237,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,177,193,45,2,90,201,167,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,0,3,0,0] - 67
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvReadExt - {"status":0,"len":116,"value":{"type":"Buffer","data":[245,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,182,237,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,177,193,45,2,90,201,167,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,0,3,0,0]}}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":98}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,98,0,82]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,16,0,96]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,16,0,96]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [16,0] - 96
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":16}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvReadExt - {"id":98,"offset":0}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,98,0,0,0,91]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,18,97,28,0,16,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,233]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,18,97,28,0,16,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,233]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 18 - 3 - 1 - 28 - [0,16,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254] - 233
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvReadExt - {"status":0,"len":16,"value":{"type":"Buffer","data":[181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254]}}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":58}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,58,0,10]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,17,0,97]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,17,0,97]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [17,0] - 97
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":17}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvReadExt - {"id":58,"offset":0}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,58,0,0,0,3]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,19,97,28,0,17,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,233]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,97,28,0,17,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,233]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 1 - 28 - [0,17,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254] - 233
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvReadExt - {"status":0,"len":17,"value":{"type":"Buffer","data":[0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254]}}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":59}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,59,0,11]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,17,0,97]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,17,0,97]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [17,0] - 97
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":17}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvReadExt - {"id":59,"offset":0}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,59,0,0,0,2]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,19,97,28,0,17,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,233]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,97,28,0,17,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254,233]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 1 - 28 - [0,17,0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254] - 233
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvReadExt - {"status":0,"len":17,"value":{"type":"Buffer","data":[0,181,152,181,35,12,61,3,65,245,104,185,255,121,7,5,254]}}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:adapter:zstack:manager: (stage-1) adapter is configured
[2024-07-27 07:36:54] debug: 	zh:adapter:zstack:manager: (stage-2) adapter state does not match configuration
[2024-07-27 07:36:54] debug: 	zh:adapter:zstack:manager: (stage-3) configuration-adapter mismatch (no backup)
[2024-07-27 07:36:54] debug: 	zh:adapter:zstack:manager: determined startup strategy: startCommissioning
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":33}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,33,0,17]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,116,0,4]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,116,0,4]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [116,0] - 4
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":116}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvDelete - {"id":33,"len":116}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,18,33,0,116,0,98]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,1,97,18,0,114]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,97,18,0,114]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 1 - 18 - [0] - 114
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvDelete - {"status":0}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:adapter:zstack:manager: clearing adapter using startup option 3
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":3}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,3,0,51]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,1,0,113]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,1,0,113]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [1,0] - 113
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":1}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvWriteExt - {"id":3,"offset":0,"len":1,"value":{"type":"Buffer","data":[3]}}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,7,33,29,3,0,0,0,1,0,3,58]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: <-- [254,1,97,29,0,125]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,97,29,0,125]
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 1 - 29 - [0] - 125
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvWriteExt - {"status":0}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:54] debug: 	zh:adapter:zstack:manager: adapter reset requested
[2024-07-27 07:36:54] debug: 	zh:zstack:znp: AREQ: --> SYS - resetReq - {"type":1}
[2024-07-27 07:36:54] debug: 	zh:zstack:unpi:writer: --> frame [254,1,65,0,1,65]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: <-- [254,6,65,128,0,2,1,2,7,1,192]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --- parseNext [254,6,65,128,0,2,1,2,7,1,192]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --> parsed 6 - 2 - 1 - 128 - [0,2,1,2,7,1] - 192
[2024-07-27 07:36:57] debug: 	zh:zstack:znp: AREQ: <-- SYS - resetInd - {"reason":0,"transportrev":2,"productid":1,"majorrel":2,"minorrel":7,"hwrev":1}
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:57] debug: 	zh:adapter:zstack:manager: adapter reset successful
[2024-07-27 07:36:57] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":3}
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,3,0,51]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,1,0,113]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,1,0,113]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [1,0] - 113
[2024-07-27 07:36:57] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvLength - {"length":1}
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:57] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvWriteExt - {"id":3,"offset":0,"len":1,"value":{"type":"Buffer","data":[0]}}
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:writer: --> frame [254,7,33,29,3,0,0,0,1,0,0,57]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: <-- [254,1,97,29,0,125]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,97,29,0,125]
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 1 - 29 - [0] - 125
[2024-07-27 07:36:57] debug: 	zh:zstack:znp: SRSP: <-- SYS - osalNvWriteExt - {"status":0}
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-07-27 07:36:57] debug: 	zh:adapter:zstack:manager: setting network commissioning parameters
[2024-07-27 07:36:57] debug: 	zh:zstack:znp: SREQ: --> SYS - osalNvLength - {"id":3}
[2024-07-27 07:36:57] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,3,0,51]
